;area;district
840;0.0024;Ernakulam
639;0.0036;Kozhikode
1095;0.006;Ernakulam
993;0.003;Kozhikode
642;0.003;Idukki
1176;0.005;Ernakulam
573;0.0029;Alappuzha
308;0.0036;Malappuram
953;0.008;Malappuram
732;0.010758;Ernakulam
850;0.0009;Pathanamthitta
512;0.005;Ernakulam
65;0.0046;Pathanamthitta
1016;0.002;Malappuram
297;0.0032;Thiruvananthapuram
58;0.008;Ernakulam
676;0.002796;Kozhikode
477;0.0032;Kottayam
1104;0.004;Ernakulam
122;0.006;Malappuram
430;0.0052;Kozhikode
100;0.006;Kannur
618;0.03;Malappuram
897;0.005;Kozhikode
619;0.0054;Kannur
759;0.0042;Thiruvananthapuram
1049;0.004;Thiruvananthapuram
567;0.004;Kannur
687;0.691356;Thiruvananthapuram
763;0.110968;Kasargod
668;0.004;Kollam
564;0.0054;Kannur
378;0.0036;Malappuram
426;0.20736;Thiruvananthapuram
620;0.012;Malappuram
955;0.0044;Thrissur
879;0.0052;Malappuram
446;0.002464;Kollam
246;0.0032;Kozhikode
1034;0.005;Kottayam
615;0.0049;Thrissur
99;0.004;Kannur
434;0.00306;Thiruvananthapuram
502;0.024;Ernakulam
1102;0.004;Kozhikode
55;0.003;Thiruvananthapuram
135;0.03;Ernakulam
575;0.0048;Ernakulam
1161;0.003;Ernakulam
548;0.005;Thiruvananthapuram
1027;0.00336;Alappuzha
501;0.0052;Palakkad
66;0.03;Malappuram
832;0.0032;Ernakulam
436;0.0044;Thiruvananthapuram
516;0.005;Kozhikode
482;0.0045;Thrissur
1075;0.0024;Thrissur
634;0.0024;Thrissur
883;0.00935;Thiruvananthapuram
113;0.004;Malappuram
648;0.08;Kannur
1134;0.003;Thiruvananthapuram
420;0.0058;Palakkad
526;0.0042;Kannur
1092;0.004;Kozhikode
394;0.12;Thiruvananthapuram
292;0.005;Thiruvananthapuram
978;0.004;Ernakulam
451;0.004;Kozhikode
981;0.004;Malappuram
1048;0.003;Kozhikode
991;0.0024;Kozhikode
70;0.09;Ernakulam
311;0.12;Ernakulam
245;0.004;Thiruvananthapuram
156;0.04;Thrissur
938;0.003;Kozhikode
940;0.0044;Kozhikode
119;0.004;Malappuram
435;0.0024;Kozhikode
887;0.0036;Ernakulam
715;0.0053;Kottayam
124;0.004;Ernakulam
769;0.00238;Palakkad
745;0.0042;Ernakulam
265;0.024;Kozhikode
46;0.006;Thiruvananthapuram
494;0.0022;Malappuram
988;0.0048;Kozhikode
783;0.0112;Malappuram
975;0.005226;Palakkad
933;0.003918;Alappuzha
934;0.006;Ernakulam
244;0.07;Kozhikode
658;0.00492;Malappuram
488;0.0048;Malappuram
504;0.006;Palakkad
557;0.002;Pathanamthitta
880;0.0036;Malappuram
256;0.2;Ernakulam
982;0.0032;Alappuzha
1147;0.02;Palakkad
412;0.0048;Kannur
456;0.00585;Alappuzha
1053;0.0044;Kannur
307;0.004;Thiruvananthapuram
228;0.003;Thiruvananthapuram
809;0.0033;Alappuzha
369;0.00368;Thiruvananthapuram
1076;0.002;Ernakulam
828;0.005;Kozhikode
251;0.004;Kozhikode
927;0.0032;Thiruvananthapuram
644;0.005;Kozhikode
62;0.01;Thiruvananthapuram
134;0.2;Kannur
112;0.036;Malappuram
127;0.005;Kannur
958;0.003862;Kozhikode
836;0.003;Thiruvananthapuram
586;0.003;Malappuram
839;0.04;Malappuram
943;0.0017;Kozhikode
85;0.01;Kozhikode
523;0.0028;Ernakulam
1172;0.003;Kozhikode
686;0.00126;Alappuzha
1051;0.0014;Thiruvananthapuram
714;0.0032;Thiruvananthapuram
196;0.01;Kozhikode
915;0.0018;Kozhikode
707;0.003;Pathanamthitta
608;0.0036;Kannur
498;0.005;Kozhikode
376;0.024;Malappuram
169;0.006;Kollam
1017;0.0024;Pathanamthitta
185;0.007;Thiruvananthapuram
199;0.003;Kozhikode
193;0.024;Kollam
572;0.006;Pathanamthitta
928;0.0034;Ernakulam
217;0.005;Kannur
643;0.0035;Kozhikode
932;0.005;Kozhikode
77;0.004;Alappuzha
1153;0.003;Kozhikode
401;0.07;Malappuram
474;0.0024;Kozhikode
240;0.003;Kozhikode
1025;0.01;Thiruvananthapuram
730;0.002;Thiruvananthapuram
1043;0.005;Palakkad
212;0.004;Thiruvananthapuram
118;0.2;Kozhikode
371;0.0036;Kollam
388;0.0046;Alappuzha
306;0.003;Thiruvananthapuram
1082;0.004;Kozhikode
874;0.00332;Malappuram
605;0.0036;Thiruvananthapuram
291;0.004;Thiruvananthapuram
675;0.00143;Kannur
206;0.04;Kozhikode
929;0.0048;Malappuram
476;0.0046;Kottayam
89;0.0044;Ernakulam
984;0.003;Malappuram
233;0.15;Thiruvananthapuram
1002;0.007;Kozhikode
216;0.005;Malappuram
1122;0.004;Ernakulam
20;0.005;Thiruvananthapuram
382;0.006;Malappuram
152;0.004;Malappuram
43;0.004;Kozhikode
1162;0.0002;Ernakulam
1137;0.016;Kozhikode
584;0.004;Thiruvananthapuram
803;0.004;Kollam
242;0.008;Kozhikode
159;0.0046;Kannur
1116;0.006;Kozhikode
1063;0.006;Kozhikode
737;0.004;Kozhikode
632;0.0024;Kollam
210;0.0036;Thiruvananthapuram
457;0.0032;Thrissur
361;0.004;Thiruvananthapuram
1005;0.016;Kannur
140;0.0016;Malappuram
425;1.0;Kozhikode
918;0.06;Thrissur
155;0.004;Kannur
333;0.003;Palakkad
589;0.004382;Ernakulam
398;0.005;Kozhikode
30;0.003;Thiruvananthapuram
106;0.00302;Kollam
806;0.0053;Kollam
413;0.005;Kannur
1;0.0024;Thiruvananthapuram
754;0.003;Ernakulam
1121;0.006;Malappuram
1012;0.0024;Palakkad
989;0.005;Kozhikode
787;0.004;Thiruvananthapuram
986;0.002;Malappuram
1156;0.003;Kozhikode
914;0.0026;Kozhikode
289;0.003;Malappuram
507;0.0024;Thrissur
800;0.0026;Thrissur
971;0.008;Kasargod
825;0.00576;Kottayam
517;0.00466;Thrissur
341;0.0044;Malappuram
791;0.047526;Thiruvananthapuram
82;0.003;Ernakulam
570;0.0035;Pathanamthitta
110;0.004;Kozhikode
659;0.006;Malappuram
243;0.0036;Ernakulam
142;0.4;Kozhikode
290;0.003;Thiruvananthapuram
613;0.011;Malappuram
147;0.3;Ernakulam
595;0.0027;Malappuram
295;0.010758;Kozhikode
784;0.003;Thrissur
697;0.006264;Kottayam
1041;0.004;Malappuram
261;0.02;Ernakulam
1015;0.00408;Thiruvananthapuram
